paperID,rank,title,PublicationDate,referenceCount,citationCount,ConferenceID,JournalID,year,venu,authorsName,abstract,isKeyPaper
134533154,22131,Circle-Representations of simple 4-regular planar graphs,2012-09-19,19,4,1191926394,,2012,Graph Drawing (GD),"Michael A. Bekos, Chrysanthi N. Raftopoulou","Lovasz conjectured that every connected 4-regular planar graph G admits a realization as a system of circles, i.e., it can be drawn on the plane utilizing a set of circles, such that the vertices of G correspond to the intersection and touching points of the circles and the edges of G are the arc segments among pairs of intersection and touching points of the circles. In this paper, (a) we affirmatively answer Lovasz's conjecture, if G is 3-connected, and, (b) we demonstrate an infinite class of connected 4-regular planar graphs which are not 3-connected and do not admit a realization as a system of circles.",1
139140810,23294,A Diagramming Software for UML Class Diagrams,2004-01-01,17,0,1191926394,,2004,Graph Drawing (GD),"Carsten Gutwenger, Michael Jünger, Karsten Klein, Joachim Kupke, Sebastian Leipert, Petra Mutzel","UML diagrams have become increasingly important in the engineering and reengineering processes for software systems. Of particular interest are UML class diagrams whose purpose is to display class hierarchies (generalizations), associations, aggregations, and compositions in one picture. The combination of hierarchical and non-hierarchical relations poses a special challenge to a graph layout tool.",1
1415354223,21854,"Crossing numbers of graphs, lower bound techniques and algorithms: A survey",1994-10-10,29,15,1191926394,,1994,Graph Drawing (GD),"Farhad Shahrokhi, László A. Székely, Imrich Vrto","We give a survey of recent techniques for deriving lower bounds and algorithms for constructing upper bounds for several variations of the crossing number problem. Our aim is to emphasize the more general results or those results which have an algorithmic flavor, including the recent results of the authors.",1
1417993129,21652,Generalizing geometric graphs,2011-09-21,30,5,1191926394,,2011,Graph Drawing (GD),"Edith Brunel, Andreas Gemsa, Marcus Krug, Ignaz Rutter, Dorothea Wagner","Network visualization is essential for understanding the data obtained from huge real-world networks such as flight-networks, the AS-network or social networks. Although we can compute layouts for these networks reasonably fast, even the most recent display media are not capable of displaying these layouts in an adequate way. Moreover, the human viewer may be overwhelmed by the displayed level of detail. The increasing amount of data therefore requires techniques aiming at a sensible reduction of the visual complexity of huge layouts.n n We consider the problem of computing a generalization of a given layout reducing the complexity of the drawing to an amount that can be displayed without clutter and handled by a human viewer. We take a first step at formulating graph generalization within a mathematical model and we consider the resulting problems from an algorithmic point of view. Although these problems are NP-hard in general, we provide efficient approximation algorithms as well as efficient and effective heuristics. At the end of the paper we showcase some sample generalizations.",1
1418950634,22668,Viewport for component diagrams,2011-09-21,1,2,1191926394,,2011,Graph Drawing (GD),"Lukas Holy, Premek Brada","This paper describes a viewport technique for use in the visualization of large graphs, e.g. UML component diagrams. This technique should help to work with complex diagrams (hundreds or thousands of components) by highlighting details of the important parts of the diagram and their related surroundings without losing the global perspective. To avoid visual clutter it uses clusters of interfaces and components.",1
142177044,22496,GDS — A Graph Drawing Server on the Internet,2004-01-01,19,0,1191926394,,2004,Graph Drawing (GD),"Stina S. Bridgeman, Roberto Tamassia","Motivated by the wide variety of applications in many different fields, new graph drawing algorithms are continually being developed and implemented. However, there are many barriers in the way of someone wishing to make use of this technology. First, a potential user must know that the technology exists, which often means she must be well-versed in the terminology and literature of the graph drawing community. Then she must locate and install an implementation, which requires that the software creators provided the correct executable for her environment, or that she has the knowledge and tools to build the application from source code. Running the newly-installed program requires sufficient computational resources (CPU power, memory, disk space). Finally, due to the wealth of different graph description formats, it is likely that she must convert her data to the format used by the program. Another translation step may be required at the end, if the program does not output the data in a format she can use. Overall, this process is time-consuming for even an expert user, and may be prohibitively difficult for the casual or novice user.",1
1429667830,21638,Hardness of approximate compaction for nonplanar orthogonal graph drawings,2011-09-21,11,2,1191926394,,2011,Graph Drawing (GD),"Michael J. Bannister, David Eppstein","We show that several problems of compacting orthogonal graph drawings to use the minimum number of rows or the minimum possible area cannot be approximated to within better than a polynomial factor in polynomial time unless P=NP. However, there is a fixed-parameter-tractable algorithm for testing whether a drawing can be compacted to a given number of rows.",1
1430805012,22599,Shortest-Paths preserving metro maps,2011-09-21,2,3,1191926394,,2011,Graph Drawing (GD),"Tal Milea, Okke Schrijvers, Kevin Buchin, Herman Haverkort","A metro map, or subway map, is a schematic representation of a metro system of a city. The main goal of a metro map is to provide a traveler with information on which lines to take to get from station A to station B, and at which stations he needs to switch lines. It is often not beneficial to use the geographical embedding of the system, but rather a representation where the relevant information is presented as clearly as possible. There are several algorithms that aim to generate such maps [2].",1
1431066725,23281,Recognizing rectangle of influence drawable graphs (extended abstract),1994-10-10,22,4,1191926394,,1994,Graph Drawing (GD),"Hossam A. ElGindy, Giuseppe Liotta, Anna Lubiw, Henk Meijer, Sue Whitesides","Given two points x and y in the plane the rectangle of influence of x and y is the axis-aligned rectangle having x and y at opposite corners. The rectangle of influence drawing of a graph G is a straight-line drawing of G such that (i) for each pair of adjacent vertices u, v of G the rectangle of influence of the points representing u and v is empty (i.e. does not contain any other point representing any other vertex of G except possibly the two representing u and v) and (ii) for each pair of non adjacent vertices u, v of G the rectangle of influence of the points representing u and v is not empty. In this paper we consider several classes of graphs, and we characterize, for each class, which graphs of the class have a rectangle of influence drawing. For each class we show that the problem of testing whether a graph G has a rectangle of influence drawing can be done in linear time. Furthermore, if the test for G is affirmative, a rectangle of influence drawing of G can be constructed in linear time with the real RAM model of computation.",1
1434414603,23183,08191 Executive Summary -- Graph Drawing with Applications to Bioinformatics and Social Sciences,2008-01-01,0,1,1191926394,,2008,Graph Drawing (GD),"Stephen P. Borgatti, Stephen G. Kobourov, Oliver Kohlbacher, Petra Mutzel","Graph drawing deals with the problem of communicating the structure ofn relational data through diagrams, or drawings. The ability to represent n relational information in a graphical form is a powerful tool which allows n to perform analysis through visual exploration to find important patterns, n trends, and correlations. Real-world applications such as bioinformatics and n sociology pose challenges to the relational visualization because, e.g., semanticn information carried by the diagram has to be used for obtaining meaningful layouts andn application-specific drawing conventions need to be fulfilled. Moreover, then underlying data often stems from huge data bases, but only a small fractionn shall be displayed at a time; the user interactively selects the data to ben displayed and explores the graph by expanding interesting and collapsingn irrelevant parts. This requires powerful graph exploration tools withn navigation capabilities that allow dynamic adaption of the graph layout in realn time. In this seminar we focused on the application of graph drawing in twon important application domains: bioinformatics and social sciences. n We brought together theoreticians and practitioners from these areasn and focused on problems concerning interaction with and navigation in large n and dynamic networks arising in these application areas;n During the seminar, we identified and defined open graph drawing problems n that are motivated by practical applications in the targeted application areas,n tackled selected open problems, formulated the findings as a first step to n the solution, and defined further research directions.",1
1441810634,21913,The graphlet system (system demonstration),1996-09-18,15,11,1191926394,,1996,Graph Drawing (GD),Michael Himsolt,"Graphlet is a portable, object oriented toolkit for graph editors and graph drawing algorithms, and is the successor of the GraphEd system. Graphlet is based on LEDA and Tcl/Tk. Algorithms can be implemented in C and LedaScript, a new scripting language based on Tcl/Tk. The GML format is a portable file format for graphs.",1
1444525010,21429,Planar preprocessing for spring embedders,2012-09-19,23,2,1191926394,,2012,Graph Drawing (GD),"J. Joseph Fowler, Stephen G. Kobourov","Spring embedders are conceptually simple and produce straight-line drawings with an undeniable aesthetic appeal, which explains their prevalence when it comes to automated graph drawing. However, when drawing planar graphs, spring embedders often produce non-plane drawings, as edge crossings do not factor into the objective function being minimized. On the other hand, there are fairly straight-forward algorithms for creating plane straight-line drawings for planar graphs, but the resulting layouts generally are not aesthetically pleasing, as vertices are often grouped in small regions and edges lengths can vary dramatically. It is known that the initial layout influences the output of a spring embedder, and yet a random layout is nearly always the default. We study the effect of using various plane initial drawings as an inputs to a spring embedder, measuring the percent improvement in reducing crossings and in increasing node separation, edge length uniformity, and angular resolution.",1
1447083996,24460,On drawing a graph convexly in the plane (extended abstract),1994-10-10,15,0,1191926394,,1994,Graph Drawing (GD),Hristo N. Djidjev,"Let G be a planar graph and H be a subgraph of G. Given any convex drawing of H, we investigate the problem of how to extend the drawing of H to a convex drawing of G. We obtain a necessary and sufficient condition for the existence and a linear algorithm for the construction of such an extension. Our results and their corollaries generalize previous theoretical and algorithmic results of Tutte, Thomassen, Chiba, Yamanouchi, and Nishizeki.",1
1447638773,23107,Kozo sugiyama 1945 - 2011,2011-09-21,0,0,1191926394,,2011,Graph Drawing (GD),"Peter Eades, Seok-Hee Hong, Kazuo Misue","Kozo Sugiyama was born in Gifu Prefecture Japan on September 17, 1945. He received his B.S., M.S., and Dr. Sci. at Nagoya University in 1969, 1971, 1974 respectively. For 23 years from 1974 he was a researcher at Fujitsu. During this time he spent a year at the International Institute for Applied Systems Analysis in Laxenburg in Austria. In the mid 1990s he served as the Director of the Information Processing Society of Japan. In 1997 he moved from Fujitsu to the newly-created Japan Advanced Institute of Science and Technology. His first position there was Professor of the School of Knowledge Science, but he soon became Director of the Center for Knowledge Science, and then Dean of the School of Knowledge Science. His last few years at JAIST were spent as a Vice President of the University.",1
1455508904,21170,Weak dominance drawings for directed acyclic graphs,2012-09-19,3,10,1191926394,,2012,Graph Drawing (GD),"Evgenios M. Kornaropoulos, Ioannis G. Tollis","The dominance drawing method has many important aesthetic properties, including small number of bends, good vertex placement, and symmetry display [1]. Furthermore, it encapsulates the aspect of characterizing the transitive closure of the digraph by means of a geometric dominance relation among the vertices. A dominance drawing xcex93 of a planar st-graph G is a drawing, such that for any two vertices u and v there is a directed path from u to v in G if and only if X(u)xe2x89xa4X(v) and Y(u)xe2x89xa4Y(v) in xcex93 [1]. Here we study weak dominance drawings where for any two vertices u and v if there is a directed path from u to v in G then X(u)xe2x89xa4X(v) and Y(u)xe2x89xa4Y(v) in xcex93.",1
1462775481,23083,DAGmaps and ε-visibility representations of DAGs,2009-09-22,15,1,1191926394,,2009,Graph Drawing (GD),"Vassilis Tsiaras, Ioannis G. Tollis",DAGmaps are space filling visualizations of DAGs that generalize treemaps. Deciding whether or not a DAG admits a DAGmap is NP-complete. Recently we defined a special case called one-dimensional DAGmap where the admissibility is decided in linear time. However there is no complete characterization of the class of DAGs that admit a one-dimensional DAGmap. In this paper we prove that a DAG admits a one-dimensional DAGmap if and only if it admits a directed e-visibility representation. Then we give a characterization of the DAGs that admit directed e-visibility representations. Finally we show that a DAGmap defines a directed three-dimensional e-visibility representation of a DAG.,1
1479918018,22397,New exact results and bounds for bipartite crossing numbers of meshes,2004-09-29,23,4,1191926394,,2004,Graph Drawing (GD),"Matthew Newton, Ondrej Sýkora, Martin Užovič, Imrich Vrto","The bipartite crossing number of a bipartite graph is the minimum number of crossings of edges when the partitions are placed on two parallel lines and edges are drawn as straight line segments between the lines. We prove exact results, asymtotics and new upper bounds for the bipartite crossing numbers of 2-dimensional mesh graphs. We especially show that bcr(P6xc3x97 Pn)=35nxe2x80x9347, for nxe2x89xa5 7.",1
1479959009,20146,A Bayesian Paradigm for Dynamic Graph Layout,1997-09-18,14,103,1191926394,,1997,Graph Drawing (GD),"Ulrik Brandes, Dorothea Wagner","Dynamic graph layout refers to the layout of graphs that change over time. These changes are due to user interaction, algorithms, or other underlying processes determining the graph. Typically, users spend a noteworthy amount of time to get familiar with a layout, i.e. they build a mental map [ELMS91]. To retain this map at least partially, consecutive layouts of similar graphs should not differ significantly. Still, each of these layouts should adhere to constraints and criteria that have been specified to improve meaning and readability of a drawing.",1
1479963486,18519,Graph drawing by stress majorization,2004-09-29,20,292,1191926394,,2004,Graph Drawing (GD),"Emden R. Gansner, Yehuda Koren, Stephen C. North","One of the most popular graph drawing methods is based on achieving graph-theoretic target distances. This method was used by Kamada and Kawai [15], who formulated it as an energy optimization problem. Their energy is known in the multidimensional scaling (MDS) community as the stress function. In this work, we show how to draw graphs by stress majorization, adapting a technique known in the MDS community for more than two decades. It appears that majorization has advantages over the technique of Kamada and Kawai in running time and stability. We also found the majorization-based optimization being essential to a few extensions to the basic energy model. These extensions can improve layout quality and computation speed in practice.",1
1480081197,22309,Drawing Directed Acyclic Graphs: An Experimental Study,1996-09-18,32,10,1191926394,,1996,Graph Drawing (GD),"Giuseppe Di Battista, Ashim Garg, Giuseppe Liotta, Armando Parise, Roberto Tamassia, Emanuele Tassinari, Francesco Vargiu, Luca Vismara","In this paper we consider the class of directed acyclic graphs (DAGs), and present the results of an experimental study on four drawing algorithms specifically developed for DAGs. Our study is conducted on two large test suites of DAGs and yields more than 30 charts comparing the performance of the drawing algorithms with respect to several quality measures, including area, crossings, bends, and aspect ratio. The algorithms exhibit various trade-offs with respect to the quality measures, and none of them clearly outperforms the others.",1
1480291936,22185,A new method for efficiently generating planar graph visibility representations,2005-09-12,5,0,1191926394,,2005,Graph Drawing (GD),John M. Boyer,"A planar graph visibility representation maps each vertex to a horizontal segment at a vertical position and each edge to a vertical segment at a horizontal position such that each edge segment terminates at the vertical positions of its endpoint vertices and intersects no other horizontal vertex segments. The first O(n) algorithms for producing visibility representations were presented in [4, 5]. These were based on pre-processing to compute both an st-numbering and the dual of the planar graph, which were then used with the combinatorial planar embedding to produce a visibility representation. Greater efficiency is obtained in [3] by eliminating the need for the planar graph dual and by re-using the pre-computed st-numbering in the PQ-tree [1] algorithm.",1
1480296195,23549,Poster Gallery Report,1994-10-10,0,0,1191926394,,1994,Graph Drawing (GD),Sue Whitesides,"We describe different methods for three dimensional embedding of graphs, as well as a two dimensional layout method, namely barycentric embedding. In addition, we present a program for automatic recognition of graphs. Finally, we describe servers for graph drawing routines that can be called from C or C programs and Mosaic. We also describe some of the capabilities of GraphPack, the system that we developed here at Rensselaer. We show several drawings of graphs and digraphs using GraphPack.",1
1480727870,24018,Adocs: a Drawing System for Generic Combinatorial Structures,1995-09-20,3,1,1191926394,,1995,Graph Drawing (GD),François Bertault,"Existing graph drawing systems imply the use of specific algorithms for each kind of data structures. This paper provide a description of the Adocs program. The program is based on a generic description of the structures, and thus allows to draw structures of an infinite number of classes. It can be used in order to produce graphical output for Gaia, an uniform random generator of combinatorial structures. It could be used with other programs and is well suited for drawing compound objects.",1
1480840122,22204,3D Visibility Representations of Complete Graphs,2003-09-21,11,3,1191926394,,2003,Graph Drawing (GD),Jan Štola,This paper continues the study of 3D visibility representations of complete graphs where vertices are represented by equal convex polygons lying in planes parallel to the xy-plane. Edges correspond to the z-parallel visibility among these polygons.,1
1481150206,23018,Radial drawings of graphs: geometric constraints and trade-offs,2006-09-18,16,2,1191926394,,2006,Graph Drawing (GD),"Emilio Di Giacomo, Walter Didimo, Giuseppe Liotta","This paper studies how to compute radial drawings of graphs by taking into account additional geometric constraints which correspond to typical aesthetic and semantic requirements for the visualization. The following requirements are considered: vertex centrality, edge crossings, curve complexity, and vertex radial distribution. Trade-offs among these requirements and efficient drawing algorithms are presented.",1
1481467541,21612,Drawing cubic graphs with at most five slopes,2006-09-18,10,4,1191926394,,2006,Graph Drawing (GD),"Balázs Keszegh, János Pach, Dömötör Pálvölgyi, Géza Tóth","We show that every graph G with maximum degree three has a straight-line drawing in the plane using edges of at most five different slopes. Moreover, if G is connected and has at least one vertex of degree less than three, then four directions suffice.",1
1482007218,22879,Web-Linkage Viewer: Drawing Links in the Web Based on a Site-Oriented Framework,2003-09-21,5,0,1191926394,,2003,Graph Drawing (GD),"Yasuhito Asano, Takao Nishizeki","In recent years, link-based information retrieval methods from the Web are developed, such as HITS and Trawling. Since these methods utilize characteristic graph structures of links in the Web, analyzing the links by drawing them understandably will play an important role in the link-based information retrieval. Moreover, Asano et al.[2], [3] have shown that a framework using a site as a unit of information is more natural and useful for link-based information retrieval than the existing framework using a page as a unit. Therefore, we should distinguish links inside a site (called local-links) between links between sites (called global-links) and analyze their own graph structures. However, existing drawing tools, such as Gravis [1] and H3Viewer[5], do not distinguish local-links between global-links, and therefore they cannot draw graph structures of these links understandably. In this paper, we propose a new drawing tool, named Web-linkage Viewer, in order to draw graph structures in the Web according to the site-oriented framework.",1
1482075393,24063,Automatic Drawing of Compound Digraphs for a Real-Time Power System Simulator,1995-09-20,3,1,1191926394,,1995,Graph Drawing (GD),Gilles Paris,"Two implemented versions of a compound digraph algorithm using an object-oriented approach are shown for use in the field of automatic drawing of electrical circuit diagrams. One is a test version with minimal user interface, the other a full-fledged editor part of a graphical user interface project currently under development. Orthogonal drawing of edges and interactive implosion and explosion of compound vertices are key features of the application.",1
1482113038,23211,The Polyhedral Approach to the Maximum Planar Subgraph Problem: New Chances for Related Problems,1994-10-10,13,7,1191926394,,1994,Graph Drawing (GD),"Michael Jünger, Petra Mutzel","In [JM94] we used a branch and cut algorithm in order to determine a maximum weight planar subgraph of a given graph. One of the motivations was to produce a nice drawing of a given graph by drawing the found maximum planar subgraph, and then augmenting this drawing by the removed edges. Our experiments indicate that drawing algorithms for planar graphs which require 2- or 3-connectivity, resp. degree-constraints, in addition to planarity often give xe2x80x9cnicerxe2x80x9d results. Thus we are led to the following problems:n n (1)n n Find a maximum planar subgraph with maximum degree d xe2x88x88 IN.n n n n n (2)n n Augment a planar graph to a K-connected planar graph.n n n n n (3)n n Find a maximum planar k-connected subgraph of a given k-connected graph.n n n n n (4)n n Given a graph G, which is not necessarily planar and not necessarily k-connected, determine a new graph H by removing r edges and adding a edges such that the new graph H is planar, spanning, k-connected, each node v has degree at most D(v) and ra is minimum.",1
1482498580,21536,The art of cheating when drawing a graph,2009-09-22,0,0,1191926394,,2009,Graph Drawing (GD),Martin Wattenberg,"The prime directive of graph drawing is to depict a network faithfully and accurately. But sometimes it's better to cheat. I will discuss a series of examples - both my own work and that of others - that involve discarding information, distorting the data, encouraging visual clutter, or even adding random noise. The benefits of breaking the rules can range from the scientific to the artistic.",1
1483071195,24640,Using high dimensions to compare drawings of graphs,2009-09-22,2,0,1191926394,,2009,Graph Drawing (GD),Stina S. Bridgeman,"We describe a simple visualization technique which allows a user to quickly assess the overall similarity of drawings of similar graphs, and to easily find regions of stability and of change. It can be used to simultaneously compare any number of drawings, and does not require that the layouts be adjusted to minimize changes.n n The underlying idea - grouping vertices whose relative positions undergo little change - is shared by the animation technique of Friedrich and Houle [1], but both our approach to identifying such groups (visually via planes in high dimensions) and our application (comparing drawings) are quite different.",1
1483285511,19892,Simultaneous geometric graph embeddings,2007-09-24,12,61,1191926394,,2007,Graph Drawing (GD),"Alejandro Estrella-Balderrama, Elisabeth Gassner, Michael Jünger, Merijam Percan, Marcus Schaefer, Michael Schulz","We consider the following problem known as simultaneous geometric graph embedding (SGE). Given a set of planar graphs on a shared vertex set, decide whether the vertices can be placed in the plane in such a way that for each graph the straight-line drawing is planar. We partially settle an open problem of Erten and Kobourov [5] by showing that even for two graphs the problem is NP-hard.n n We also show that the problem of computing the rectilinear crossing number of a graph can be reduced to a simultaneous geometric graph embedding problem; this implies that placing SGE in NP will be hard, since the corresponding question for rectilinear crossing number is a long-standing open problem. However, rather like rectilinear crossing number, SGE can be decided in PSPACE.",1
1483487803,23445,Adding Constraints to an Algorithm for Orthogonal Graph Drawing,1998-08-01,6,0,1191926394,,1998,Graph Drawing (GD),"Roland Wiese, Michael Kaufmann","There are two kinds of approaches for orthogonal graph drawing: one supports planar and almost planar graphs (Giotto [6], Kandinsky) and is based on a mincost flow algorithm. The second does not take planarity into account. It is therefore conceptually much simpler and runs in linear-time. Representatives of such concepts are the papers [5,3,2]. In a variant of this last paper, Biedl/Kaufmann [4] achieve the theoretically best area bound. The idea is the following: The graph is drawn such that each edge bends exactly once. Outgoing edges leave the vertex from the right or left side, incoming edges arrive at the top or bottom side. Edges are directed in a quasi-s-t-ordering such that each vertex gets at least one incoming and one outgoing edge. Then we assign disjoint rows to the vertices such that the number of outgoing edges leaving the vertex v to different directions is nearly balanced. The same is done for the column assignment where the numbers of incoming edges from different sides has to be balanced. Applying this simple scheme yields an area bound of (m n)/2 xc3x97 (m n)/2 for the graph. Making graph algorithms aware of constraints is a very important task. We do it here for the Biedl/Kaufmann scheme.",1
1483892257,24118,DNA secondary structures for probe design,2004-09-29,4,0,1191926394,,2004,Graph Drawing (GD),"Yanga Byun, Kyungsook Han","Visualizing DNA secondary structures is essential to fast and efficient design of probes for DNA chips. There are several programs available for visualizing single-stranded RNA secondary structures, but these programs cannot be used to draw DNA secondary structures formed by several hundred to thousand primers and target genes. We have developed an algorithm and program for visualizing DNA secondary structures formed by multiple strands. We believe the program will be a valuable tool for designing primers and probes in DNA chips.",1
1483918863,20802,Clustered Planarity: Embedded Clustered Graphs with Two-Component Clusters,2009-02-05,11,27,1191926394,,2009,Graph Drawing (GD),"Vít Jelínek, Eva Jelínková, Jan Kratochvíl, Bernard Lidický",We present a polynomial-time algorithm for c-planarity testing of clustered graphs with fixed plane embedding and such that every cluster induces a subgraph with at most two connected components.,1
